Model,Method,Score,Label
Llama 3.1 8B Instruct,Supervised Heads,0.4932,L18H12
Llama 3.1 8B Instruct,Supervised Heads,0.4598,L15H8
Llama 3.1 8B Instruct,Supervised Heads,0.4294,L14H27
Llama 3.1 8B Instruct,Supervised Post-o-proj,0.5978,L20
Llama 3.1 8B Instruct,Supervised Post-o-proj,0.5745,L16
Llama 3.1 8B Instruct,Supervised Post-o-proj,0.5212,L22
Llama 3.1 8B Instruct,Supervised Hidden States,0.579,L17
Llama 3.1 8B Instruct,Supervised Hidden States,0.5682,L14
Llama 3.1 8B Instruct,Supervised Hidden States,0.5605,L12
Llama 3.1 8B Instruct,Unsupervised Best Possible Probe Heads,0.8109,"L18H15,PC1"
Llama 3.1 8B Instruct,Unsupervised Best Possible Probe Heads,0.8073,"L14H27,PC1"
Llama 3.1 8B Instruct,Unsupervised Best Possible Probe Heads,0.8057,"L18H12,PC1"
Llama 3.1 8B Instruct,Unsupervised Best Possible Probe Post-o-proj,0.8156,"L15,PC1"
Llama 3.1 8B Instruct,Unsupervised Best Possible Probe Post-o-proj,0.8125,"L12,PC1"
Llama 3.1 8B Instruct,Unsupervised Best Possible Probe Post-o-proj,0.812,"L16,PC2"
Llama 3.1 8B Instruct,Unsupervised Best Possible Probe Hidden States,0.8036,"L24,PC1"
Llama 3.1 8B Instruct,Unsupervised Best Possible Probe Hidden States,0.8018,"L27,PC1"
Llama 3.1 8B Instruct,Unsupervised Best Possible Probe Hidden States,0.8015,"L16,PC1"
Llama 3.1 8B Instruct,Unsupervised Flattened All Layers Heads,0.5475,PC2
Llama 3.1 8B Instruct,Unsupervised Flattened All Layers Heads,0.5324,PC1
Llama 3.1 8B Instruct,Unsupervised Flattened All Layers Heads,0.2657,PC3
Llama 3.1 8B Instruct,Unsupervised Flattened All Layers Post-o-proj,0.5276,PC3
Llama 3.1 8B Instruct,Unsupervised Flattened All Layers Post-o-proj,0.4495,PC2
Llama 3.1 8B Instruct,Unsupervised Flattened All Layers Post-o-proj,0.374,PC1
Llama 3.1 8B Instruct,Unsupervised Flattened All Layers Hidden States,0.7819,PC1
Llama 3.1 8B Instruct,Unsupervised Flattened All Layers Hidden States,0.1106,PC2
Llama 3.1 8B Instruct,Unsupervised Flattened All Layers Hidden States,0.0692,PC3
Llama 3.1 8B Instruct,Unsupervised Flattened Middle 25% Layers Heads,0.8169,PC1
Llama 3.1 8B Instruct,Unsupervised Flattened Middle 25% Layers Heads,0.0612,PC2
Llama 3.1 8B Instruct,Unsupervised Flattened Middle 25% Layers Heads,0.0278,PC3
Llama 3.1 8B Instruct,Unsupervised Flattened Middle 25% Layers Post-o-proj,0.8116,PC1
Llama 3.1 8B Instruct,Unsupervised Flattened Middle 25% Layers Post-o-proj,0.0737,PC2
Llama 3.1 8B Instruct,Unsupervised Flattened Middle 25% Layers Post-o-proj,0.0257,PC3
Llama 3.1 8B Instruct,Unsupervised Flattened Middle 25% Layers Hidden States,0.8043,PC1
Llama 3.1 8B Instruct,Unsupervised Flattened Middle 25% Layers Hidden States,0.1139,PC3
Llama 3.1 8B Instruct,Unsupervised Flattened Middle 25% Layers Hidden States,0.0415,PC2
Llama 3.1 8B Instruct,Unsupervised Best-Variance Layer Heads,0.2083,"L21H22,PC1"
Llama 3.1 8B Instruct,Unsupervised Best-Variance Layer Heads,0.102,"L21H22,PC3"
Llama 3.1 8B Instruct,Unsupervised Best-Variance Layer Heads,0.0324,"L21H22,PC2"
Llama 3.1 8B Instruct,Unsupervised Best-Variance Layer Post-o-proj,0.4207,"L11H,PC1"
Llama 3.1 8B Instruct,Unsupervised Best-Variance Layer Post-o-proj,0.4032,"L11H,PC3"
Llama 3.1 8B Instruct,Unsupervised Best-Variance Layer Post-o-proj,0.2737,"L11H,PC2"
Llama 3.1 8B Instruct,Unsupervised Best-Variance Layer Hidden States,0.1297,"L10H,PC1"
Llama 3.1 8B Instruct,Unsupervised Best-Variance Layer Hidden States,0.0894,"L10H,PC2"
Llama 3.1 8B Instruct,Unsupervised Best-Variance Layer Hidden States,0.0051,"L10H,PC3"
Llama 3.1 8B Instruct,Unsupervised Best-ExpVar Layer Heads,0.0543,"L0H29,PC3"
Llama 3.1 8B Instruct,Unsupervised Best-ExpVar Layer Heads,0.0462,"L0H29,PC2"
Llama 3.1 8B Instruct,Unsupervised Best-ExpVar Layer Heads,0.0073,"L0H29,PC1"
Llama 3.1 8B Instruct,Unsupervised Best-ExpVar Layer Post-o-proj,0.8125,"L12H,PC1"
Llama 3.1 8B Instruct,Unsupervised Best-ExpVar Layer Post-o-proj,0.0184,"L12H,PC2"
Llama 3.1 8B Instruct,Unsupervised Best-ExpVar Layer Post-o-proj,0.0008,"L12H,PC3"
Llama 3.1 8B Instruct,Unsupervised Best-ExpVar Layer Hidden States,0.8015,"L16H,PC1"
